query_index,score,submission.score,arousal,valence,dataset,artist_name,song_name,n_words,submission.n_comments,min.Anger,min.Joy,min.Sadness,min.Fear,max.Anger,max.Joy,max.Sadness,max.Fear,mean.Anger,mean.Joy,mean.Sadness,mean.Fear,std.Anger,std.Joy,std.Sadness,std.Fear
0,34.58052434456929,136364.88764044945,-0.335959375,0.15131875,AMG1608,Ben Webster,Chelsea Bridge,4087,89983,0.0,0.0,0.0,0.0,0.893,0.863,0.915,0.962,0.1373389355742297,0.25616246498599443,0.1601120448179272,0.17685994397759103,0.2649493272985279,0.2878260172875528,0.27657821657282544,0.3036935964980649
1,3.6806083650190113,1794.0798479087453,-0.261853125,0.049584375,AMG1608,Leadbelly,Goodnight Irene,2775,1978,0.0,0.0,0.0,0.0,0.853,0.879,0.922,0.962,0.06615355805243446,0.3287191011235955,0.15898876404494383,0.1035880149812734,0.19044298087053926,0.31033331542689807,0.26917222710228395,0.22564243023417543
2,1.5423728813559323,287.6864406779661,-0.2660375,0.11059375,AMG1608,Ray Charles,How Long Blues,1359,269,0.0,0.0,0.0,0.0,0.853,0.924,0.875,0.86,0.10328260869565216,0.341695652173913,0.1353478260869565,0.09909782608695653,0.2357351990896209,0.3308399147800306,0.24505776106656657,0.20489858439074696
3,1.1077586206896552,4992.586206896552,0.149390625,0.026140625,AMG1608,The Kinks,Two Sisters,2580,3694,0.0,0.0,0.0,0.0,0.868,0.863,0.915,0.942,0.08128879310344826,0.4015431034482759,0.09333620689655174,0.09689224137931034,0.21102126081168787,0.29912234946963034,0.22049925421104719,0.23320899259088937
4,1.957516339869281,9335.83660130719,0.544234375,0.53096875,AMG1608,Adam Ant,Goody Two Shoes,2761,7582,0.0,0.0,0.0,0.0,0.853,0.984,0.915,0.942,0.08520297029702971,0.36000990099009905,0.10824752475247525,0.10121782178217821,0.19313319557992753,0.32229126825439275,0.22322067727920494,0.22626742439532796
5,0.9951219512195122,9351.453658536586,0.5519375,0.413565625,AMG1608,Sam the Sham & the Pharaohs,Wooly Bully,1781,7051,0.0,0.0,0.0,0.0,0.853,0.912,0.906,0.942,0.09166666666666666,0.4082183908045977,0.09504022988505746,0.11027011494252872,0.21593066038971653,0.32202997473980827,0.21885620583988233,0.24377814116015645
6,3.413793103448276,8256.6369168357,0.483128125,0.4211,AMG1608,Elvis Presley,Viva Las Vegas,4138,11738,0.0,0.0,0.0,0.0,0.853,0.922,0.906,0.86,0.10818749999999999,0.3576414473684211,0.10803947368421053,0.08844407894736843,0.23395221305867037,0.317849373368949,0.2203819780709574,0.2060324804518187
7,1.1592356687898089,6699.923566878981,-0.510665625,0.073178125,AMG1608,Frank Sinatra,April in Paris,1637,2348,0.0,0.0,0.0,0.0,0.853,0.924,0.906,0.844,0.041338028169014086,0.4317957746478874,0.06944366197183098,0.02974647887323944,0.16031466785044715,0.30200600103784503,0.17377912632643353,0.12102138821693233
8,5.722308892355694,28191.76911076443,0.523778125,0.441253125,AMG1608,ABBA,Take a Chance on Me,6146,47855,0.0,0.0,0.0,0.0,0.853,0.924,0.915,0.962,0.10581759656652362,0.36854077253218887,0.10036695278969958,0.09345064377682404,0.22693863267747716,0.32084189562764326,0.22059890255565429,0.21823939388340366
9,3.7004830917874396,11646.497584541063,0.361746875,0.297725,AMG1608,John Coltrane,Cousin Mary,1668,6789,0.0,0.0,0.0,0.0,0.853,0.891,0.912,0.879,0.05970238095238095,0.42423214285714295,0.08985119047619047,0.07926785714285714,0.17219938866144374,0.3257447473065005,0.20863673957472278,0.19702273412742333
10,1.7254237288135594,3298.830508474576,-0.32401875,-0.3600875,AMG1608,Nico,Chelsea Girls,4954,3476,0.0,0.0,0.0,0.0,0.882,0.859,0.915,0.962,0.09686374695863748,0.2974695863746959,0.12827250608272506,0.111661800486618,0.2255405991781377,0.30590576569817945,0.23431199483843682,0.23095522736979407
11,2.621761658031088,1750.4663212435232,0.575321875,-0.2081625,AMG1608,Pussy Galore,Dick Johnson,1496,1518,0.0,0.0,0.0,0.0,0.897,0.922,0.844,0.906,0.06493464052287581,0.45777777777777773,0.06993464052287582,0.04147712418300654,0.19484996499339982,0.2958150698587811,0.18611713463649057,0.15854503282594676
12,1.8481675392670156,21913.947643979056,0.536174194,0.011248387,AMG1608,Red Hot Chili Peppers,Give It Away,3886,18244,0.0,0.0,0.0,0.0,0.859,0.879,0.912,0.962,0.10638489208633094,0.3414712230215827,0.12815107913669066,0.1179568345323741,0.2259484927132168,0.30369420582065826,0.24526989226764645,0.2405091281621008
13,1.8983739837398375,629.5813008130082,0.357346667,0.444516667,AMG1608,Louis Armstrong,Heebie Jeebies,2848,741,0.0,0.0,0.0,0.0,0.893,0.924,0.922,0.906,0.06689142857142857,0.3845828571428571,0.10601714285714287,0.07633714285714285,0.1949748427206045,0.31074854516976125,0.2235659915505861,0.19674017390017876
14,0.4752186588921283,269018.8921282799,-0.36216,-0.211066667,AMG1608,Roberta Flack,The First Time Ever I Saw Your Face,2612,175376,0.0,0.0,0.0,0.0,0.853,0.929,0.844,0.984,0.058479087452471476,0.44322433460076055,0.08980988593155892,0.06808365019011406,0.18835814954476335,0.30962204097985147,0.2018542147789655,0.18935192970044362
15,5.010224948875256,795.9038854805726,0.417813793,0.244262069,AMG1608,The Dead Milkmen,Punk Rock Girl,7329,877,0.0,0.0,0.0,0.0,0.894,0.924,0.912,0.969,0.101455078125,0.36900390625,0.10131445312500001,0.10178124999999999,0.2325653621770319,0.30639252541871975,0.2247104175760773,0.22932248335011335
16,0.7772020725388601,19351.886010362694,-0.48002,-0.02614,AMG1608,Duke Ellington,After All,2211,17458,0.0,0.0,0.0,0.0,0.853,0.954,0.859,0.891,0.08076649746192895,0.41444162436548215,0.08145685279187817,0.08897969543147208,0.20077336775176116,0.3134100510438476,0.20412044867576487,0.2083392288540461
17,1.6234939759036144,3575.7801204819275,0.644507692,-0.107703846,AMG1608,The Prodigy,Firestarter,3785,3281,0.0,0.0,0.0,0.0,0.828,0.924,0.969,0.879,0.04119718309859155,0.4062981220657277,0.11711737089201879,0.06280046948356807,0.13951404261279235,0.278161134590124,0.25051503715090356,0.1787662163102881
