song_id,comment_n,comment_len,comment_len_mean,comment_len_stdev,words_clean_unique_n,words_clean_total_n,bsm_n_words,bsm_v_mean,bsm_v_std,bsm_a_mean,bsm_a_std,bsm_d_mean,bsm_d_std,emo_n_words,emo_v_total,emo_v_mean,emo_v_std,emo_a_total,emo_a_mean,emo_a_std,emo_d_total,emo_d_mean,emo_d_std,aff_n_words,aff_anger,aff_fear,aff_sadness,aff_joy,aff_anger_wt,aff_fear_wt,aff_sadness_wt,aff_joy_wt,lex_n_words,lex_joy,lex_trust,lex_anticipation,lex_surprise,lex_positive,lex_negative,lex_sadness,lex_fear,lex_disgust,hssent_n_words,hssent_uniq_avg,hssent_uniq_std,hssent_dupl_avg,anew_n_words,anew_v_total,anew_v_mean,anew_v_std,anew_a_total,anew_a_mean,anew_a_std,anew_d_total,anew_d_mean,anew_d_std,mpqa_n_words,mpqa_pos,mpqa_neu,mpqa_neg,song_valence,song_arousal
2685,1.000000,9.000000,9.000000,0.000000,7,7,4.000000,6.425000,1.675000,3.565000,2.342500,5.877500,2.070000,4.000000,0.731500,0.448250,0.497500,0.731500,0.091639,0.448250,0.243903,0.497500,0.154362,1.000000,0.000000,0.000000,0.000000,0.109000,0.000000,0.000000,0.000000,0.109000,5.000000,0.200000,0.200000,0.200000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,12.000000,0.681750,0.944900,0.681750,4.000000,6.425000,3.565000,5.877500,6.425000,0.790633,3.565000,0.260448,5.877500,0.400115,2.000000,1.000000,0.000000,0.000000,0.815393,0.662457,
2269,13.000000,161.000000,12.384615,12.359466,68,89,47.000000,5.926769,1.629077,4.367231,2.514154,5.519538,2.149231,49.000000,0.649552,0.479358,0.546194,0.651327,0.230172,0.471449,0.167609,0.546918,0.170084,14.000000,0.000000,0.516000,0.277667,0.648500,0.000000,0.028667,0.046278,0.504389,43.000000,0.179104,0.194030,0.104478,0.044776,0.298507,0.119403,0.029851,0.014925,0.014925,117.000000,0.357034,1.352786,0.377026,47.000000,5.926769,4.367231,5.519538,5.951064,1.526853,4.311277,0.808062,5.622979,0.941460,22.000000,0.433333,0.200000,0.366667,0.373325,-0.923151,
3268,48.000000,1213.000000,25.270833,29.772713,362,818,226.000000,5.864627,1.629751,4.181473,2.364481,5.779938,2.129689,240.000000,0.605474,0.466548,0.524837,0.593633,0.228821,0.477621,0.180484,0.528792,0.184577,78.000000,0.425833,0.498828,0.388237,0.603712,0.071469,0.101161,0.103168,0.219531,196.000000,0.118132,0.134615,0.118132,0.043956,0.200549,0.126374,0.085165,0.071429,0.035714,517.000000,0.178037,1.325244,0.251787,226.000000,5.864627,4.181473,5.779938,5.707699,1.308897,4.169248,0.945816,5.666018,0.979279,102.000000,0.480198,0.282178,0.237624,-1.223939,0.773081,
1907,33.000000,609.000000,18.454545,16.863590,182,368,110.000000,5.851440,1.635309,4.270041,2.403786,5.521687,2.176296,115.000000,0.579000,0.449125,0.489500,0.574870,0.226085,0.455791,0.186057,0.496313,0.163561,35.000000,0.330444,0.287600,0.249600,0.536404,0.036716,0.017753,0.046222,0.344358,95.000000,0.168367,0.081633,0.153061,0.086735,0.204082,0.178571,0.051020,0.025510,0.005102,271.000000,0.221923,1.226005,0.254425,110.000000,5.851440,4.270041,5.521687,5.838727,1.310715,4.155000,0.889500,5.599364,0.949228,63.000000,0.394495,0.192661,0.412844,-1.040199,-0.065816,
1030,1.000000,187.000000,187.000000,0.000000,99,138,52.000000,6.143043,1.638261,4.289275,2.410145,5.693333,2.150725,56.000000,0.667904,0.469219,0.527000,0.647304,0.193769,0.457464,0.158643,0.517518,0.159562,14.000000,0.231500,0.332500,0.105250,0.456800,0.025722,0.036944,0.023389,0.253778,26.000000,0.156250,0.031250,0.093750,0.062500,0.312500,0.062500,0.125000,0.062500,0.031250,128.000000,0.306203,1.222372,0.402381,52.000000,6.143043,4.289275,5.693333,6.015385,1.153053,4.200192,0.911042,5.643654,0.890602,9.000000,0.400000,0.300000,0.300000,0.804478,0.289102,
493,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,1.541257,1.704165,
191,33.000000,1272.000000,38.545455,65.270155,439,832,241.000000,5.816056,1.661487,4.179784,2.363060,5.666099,2.129698,258.000000,0.592430,0.461941,0.511590,0.577973,0.219958,0.472926,0.181747,0.517849,0.164633,75.000000,0.578062,0.420161,0.480333,0.432522,0.083324,0.117342,0.077892,0.179243,189.000000,0.106164,0.089041,0.126712,0.082192,0.246575,0.113014,0.051370,0.099315,0.034247,613.000000,0.214274,1.150283,0.262204,241.000000,5.816056,4.179784,5.666099,5.632448,1.333887,4.192531,0.872565,5.562075,0.926575,91.000000,0.414201,0.284024,0.301775,-1.700572,1.842444,
1888,1.000000,3.000000,3.000000,0.000000,3,3,2.000000,5.620000,1.775000,3.710000,1.990000,5.530000,2.395000,2.000000,0.370000,0.348000,0.431000,0.370000,0.213546,0.348000,0.062225,0.431000,0.134350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,-0.952500,1.707663,-0.952500,2.000000,5.620000,3.710000,5.530000,5.620000,0.735391,3.710000,0.056569,5.530000,0.862670,0.000000,0.000000,0.000000,0.000000,1.262918,0.846830,
2230,29.000000,528.000000,18.206897,14.854964,195,299,129.000000,6.121182,1.623744,4.155961,2.340345,5.780936,2.131921,134.000000,0.631359,0.456947,0.501148,0.607791,0.223141,0.466896,0.185787,0.505313,0.182428,31.000000,0.413375,0.352143,0.141143,0.611739,0.073489,0.054778,0.021956,0.312667,105.000000,0.132867,0.139860,0.146853,0.062937,0.188811,0.146853,0.048951,0.041958,0.041958,303.000000,0.228482,1.411188,0.292333,129.000000,6.121182,4.155961,5.780936,5.895116,1.295752,4.165116,0.933848,5.684806,0.807105,55.000000,0.533333,0.266667,0.200000,-0.988352,0.175405,
3383,2.000000,253.000000,126.500000,174.655375,123,154,81.000000,5.548936,1.680426,4.497340,2.403723,5.527979,2.190532,84.000000,0.563134,0.515454,0.569546,0.546143,0.270033,0.522643,0.187390,0.570810,0.190690,41.000000,0.570167,0.651273,0.535167,0.708000,0.148739,0.155739,0.139609,0.169304,85.000000,0.086957,0.076087,0.043478,0.032609,0.119565,0.206522,0.130435,0.108696,0.065217,169.000000,0.147349,1.412444,0.199762,81.000000,5.548936,4.497340,5.527979,5.415679,1.548267,4.530370,0.977138,5.494198,1.016681,39.000000,0.448980,0.204082,0.346939,-1.396309,0.104729,
