query_index,score,submission.score,arousal,valence,dataset,artist_name,song_name,n_comments,n_words,min.Valence,min.Arousal,min.Dominance,max.Valence,max.Arousal,max.Dominance,mean.Valence,mean.Arousal,mean.Dominance,std.Valence,std.Arousal,std.Dominance
0,36.64940239043825,145055.78486055776,-0.335959375,0.15131875,AMG1608,Ben Webster,Chelsea Bridge,90068,154846,0.0,0.112,0.12,1.0,0.965,0.974,0.5939835390946503,0.4722378600823045,0.5263925925925926,0.24075618048932237,0.18583916772039313,0.1727665186358734
1,3.7707509881422925,1864.288537549407,-0.261853125,0.049584375,AMG1608,Leadbelly,Goodnight Irene,1969,3655,0.0,0.135,0.087,1.0,0.952,0.954,0.6427906523855891,0.46308081791626093,0.5254196689386563,0.22453465413314042,0.16310660445630057,0.1628655137166088
2,1.5478260869565217,295.10434782608695,-0.2660375,0.11059375,AMG1608,Ray Charles,How Long Blues,278,49141,0.02,0.073,0.131,1.0,0.931,0.938,0.6380411622276031,0.4684406779661017,0.5352130750605327,0.22264733477003346,0.16905617349744284,0.1699659392591336
3,1.1116071428571428,5170.767857142857,0.149390625,0.026140625,AMG1608,The Kinks,Two Sisters,3691,2080,0.02,0.082,0.045,1.0,0.971,0.958,0.6580804597701149,0.45082445141065836,0.5407701149425288,0.22245966397722425,0.1648847083825753,0.163071157252613
4,1.7835820895522387,10649.76119402985,0.544234375,0.53096875,AMG1608,Adam Ant,Goody Two Shoes,10701,5671,0.0,0.09,0.125,1.0,0.951,0.943,0.6311127098321344,0.4724040767386091,0.5266079136690648,0.2211443646542644,0.17983476751954955,0.17279596385151216
5,0.9315789473684211,10088.736842105263,0.5519375,0.413565625,AMG1608,Sam the Sham & the Pharaohs,Wooly Bully,7034,1035,0.0,0.069,0.102,1.0,0.971,0.973,0.6527598116169545,0.4702354788069073,0.5337488226059655,0.22452590251032878,0.184108452956313,0.17096511933971872
6,1.3169398907103824,10920.814207650274,0.483128125,0.4211,AMG1608,Elvis Presley,Viva Las Vegas,11469,2926,0.0,0.09,0.116,1.0,0.945,0.972,0.6364624903325599,0.4698940448569219,0.5244392884764114,0.21551349047080093,0.17183656124439378,0.1679781804442937
7,1.1602564102564104,6742.865384615385,-0.510665625,0.073178125,AMG1608,Frank Sinatra,April in Paris,2347,3081,0.0,0.13,0.12,1.0,0.948,0.938,0.6738747940691928,0.4510510708401977,0.5393064250411862,0.19609366020229577,0.1689294744988629,0.17326490623010754
8,0.9431818181818182,50586.21022727273,0.523778125,0.441253125,AMG1608,ABBA,Take a Chance on Me,47301,6555,0.0,0.073,0.096,1.0,0.952,0.991,0.6443107747105966,0.4533205699020481,0.5301611754229741,0.21083053771326685,0.1621196731089231,0.15853406497313413
9,3.7254901960784315,11817.583333333334,0.361746875,0.297725,AMG1608,John Coltrane,Cousin Mary,6846,990,0.0,0.069,0.045,1.0,0.948,0.981,0.6477580893682588,0.4626594761171032,0.5229137134052388,0.22514063855660796,0.17331209691944188,0.16654091166792373
10,1.4875,4044.608333333333,-0.32401875,-0.3600875,AMG1608,Nico,Chelsea Girls,3391,13203,0.0,0.102,0.116,1.0,0.952,0.991,0.6182211538461538,0.47615064102564103,0.5218926282051282,0.2245774165129903,0.1734256059568868,0.16658386034610417
11,2.6302083333333335,1759.546875,0.575321875,-0.2081625,AMG1608,Pussy Galore,Dick Johnson,1518,1275,0.0,0.069,0.12,1.0,0.971,0.954,0.6705589285714286,0.46900892857142856,0.5257999999999999,0.22277101062739726,0.1674009410197749,0.15882371501386375
12,1.3376623376623376,27152.717532467534,0.536174194,0.011248387,AMG1608,Red Hot Chili Peppers,Give It Away,18114,5050,0.0,0.118,0.125,1.0,0.971,0.953,0.6269515011547345,0.46594341801385686,0.5206039260969977,0.22109158503801662,0.17340116949116816,0.1674342495285949
13,1.8280542986425339,698.8235294117648,0.357346667,0.444516667,AMG1608,Louis Armstrong,Heebie Jeebies,680,2628,0.02,0.073,0.087,1.0,0.959,0.981,0.6294556962025316,0.43858101265822785,0.5135569620253165,0.20794790694241835,0.16214047608878837,0.16169462579516317
14,0.42900302114803623,278771.5589123867,-0.36216,-0.211066667,AMG1608,Roberta Flack,The First Time Ever I Saw Your Face,176998,1711,0.02,0.123,0.102,1.0,0.948,0.991,0.6669860813704496,0.4690364025695931,0.5356488222698073,0.21731142129523867,0.16245902034956258,0.16406976012758132
15,2.032258064516129,546.6290322580645,0.417813793,0.244262069,AMG1608,The Dead Milkmen,Punk Rock Girl,371,741,0.031,0.108,0.12,1.0,0.93,0.923,0.6452807017543859,0.4621929824561403,0.5228157894736842,0.20309655620724526,0.16410924408637648,0.15452713070451726
16,0.7760416666666666,19452.630208333332,-0.48002,-0.02614,AMG1608,Duke Ellington,After All,17459,12720,0.0,0.09,0.114,1.0,0.943,0.963,0.6558492822966506,0.46643899521531096,0.5313875598086124,0.21158317685965303,0.16779142273495487,0.1642480322091478
17,1.6303030303030304,3597.3424242424244,0.21475,0.30284,AMG1608,The Moody Blues,Tuesday Afternoon (Forever Afternoon),3279,3403,0.01,0.112,0.102,1.0,0.931,0.991,0.6588529218647406,0.45506959947472087,0.5385929087327643,0.21589675626473828,0.1566742828136595,0.16189084673684004
18,1.381578947368421,1696.3684210526317,0.428216667,0.290823333,AMG1608,Little Jimmy Dickens,May the Bird of Paradise Fly up Your Nose,676,3655,0.0,0.135,0.116,1.0,0.945,0.943,0.6636146666666667,0.44802266666666674,0.519024,0.19600839073163467,0.16934408377965393,0.16980988178529516
19,0.527027027027027,55001.18243243243,0.51092069,0.358775862,AMG1608,MC5,High School,69309,2145,0.021,0.091,0.096,1.0,0.939,0.991,0.6753829787234042,0.46747281323877066,0.5446489361702128,0.20745461588203254,0.16978128246479332,0.16391892473549505
20,1.1356589147286822,3852.391472868217,0.415489655,0.354517241,AMG1608,The Allman Brothers Band,Ramblin'' Man,2521,21528,0.0,0.112,0.102,1.0,0.971,0.945,0.6538754480286737,0.44320698924731183,0.5230098566308243,0.2086607126247599,0.15953072208019833,0.16365402336833365
21,1.628158844765343,9871.28880866426,-0.220451724,-0.213693103,AMG1608,Bobby Bare,500 Miles Away from Home,7167,91378,0.0,0.09,0.148,1.0,0.945,0.991,0.638243373493976,0.46482088353413653,0.5454650602409639,0.2238211907939404,0.16636984005306688,0.15996130392728156
22,0.8620689655172413,245147.61034482758,0.453658621,-0.142351724,AMG1608,Kevin Ayers,Stranger in Blue Suede Shoes,133809,7140,0.01,0.069,0.102,1.0,0.931,0.938,0.6356745061147695,0.45990310442144866,0.512414863593603,0.2341057259888936,0.16682445361423134,0.16944450075834852
23,2.564814814814815,38335.41203703704,-0.204753333,-0.05573,AMG1608,The American Analog Set,Magnificent Seventies,18802,2850,0.0,0.09,0.087,1.0,0.945,0.953,0.6354445927903871,0.45326568758344454,0.5175687583444593,0.21628493334916174,0.1578987445812519,0.15604985880935232
24,1.2947976878612717,3162.4046242774566,-0.096996296,0.195296296,AMG1608,James Taylor,Carolina in My Mind,3465,4753,0.0,0.073,0.045,1.0,0.958,0.972,0.6632696929238985,0.4476548731642189,0.5248825100133512,0.20972936571462428,0.16467742312469932,0.15794299666303038
25,0.6113074204946997,37370.233215547705,0.209333333,-0.080992593,AMG1608,Soft Cell,Tainted Love,16580,3081,0.0,0.09,0.081,1.0,0.942,0.991,0.6498819444444445,0.4680178571428571,0.5288382936507936,0.22098045708724443,0.16983845843865195,0.15941271513165303
26,1.621761658031088,3233.2176165803107,0.232566667,-0.247937037,AMG1608,Adam Ant,Desperate But Not Serious,2483,2701,0.0,0.16,0.102,1.0,0.945,0.953,0.6739824780976219,0.47578973717146433,0.5340563204005007,0.21037067105818336,0.16618429949397073,0.16369852963141174
27,1.6463022508038585,31144.43729903537,-0.200874074,0.087755556,AMG1608,Neil Young,Harvest Moon,24547,3240,0.0,0.09,0.102,1.0,0.971,0.953,0.6619225159525979,0.46140929808568826,0.5159498632634458,0.2202809346235568,0.16884311495649224,0.15346983774394504
28,1.944767441860465,4457.040697674419,-0.47532963,-0.348396296,AMG1608,Tori Amos,Me and a Gun,7319,13695,0.0,0.082,0.102,1.0,0.971,0.991,0.6086591454632742,0.4765895343254921,0.5278843014882382,0.24141007875706888,0.18264026632616573,0.15965683828713298
29,1.201219512195122,26760.95731707317,0.201381481,0.197659259,AMG1608,Sylvia,Nobody,18440,2701,0.012,0.082,0.148,1.0,0.945,0.972,0.679264048747461,0.4592498307379823,0.5280561949898444,0.21283767530792103,0.16100781599229333,0.1526182165100724
30,2.010025062656642,5097.80701754386,0.335448148,0.263133333,AMG1608,Cocteau Twins,Heaven or Las Vegas,8361,159330,0.0,0.082,0.102,1.0,0.971,0.954,0.638459659090909,0.45843238636363637,0.5284818181818182,0.2134641870311094,0.16474272317840694,0.16800993402060713
31,1.0084985835694051,24563.637393767705,0.175744444,0.239377778,AMG1608,P.M. Dawn,Set Adrift on Memory Bliss,25414,5253,0.0,0.073,0.087,1.0,0.943,0.972,0.649078078078078,0.4533863863863864,0.5234184184184184,0.21530050283953314,0.15775546401855714,0.15718853511705488
32,5.068322981366459,1787.8757763975154,-0.280896296,0.194459259,AMG1608,Lefty Frizzell,Look What Thoughts Will Do,1215,12880,0.03,0.13,0.136,1.0,0.94,0.963,0.6371313755795981,0.4564049459041731,0.5259644513137558,0.20839077453640298,0.16341662601984747,0.1620106930995826
33,1.2850678733031675,1099.2036199095023,-0.455003704,0.03887037,AMG1608,Mojave 3,Love Songs on the Radio,830,2080,0.0,0.069,0.045,1.0,0.94,0.958,0.6556064690026955,0.45480188679245276,0.5396239892183289,0.21501107867432648,0.16243659150032536,0.16571647939326736
34,1.447887323943662,7428.239436619719,0.068237037,0.109311111,AMG1608,Bob Dylan,Forever Young,6895,3741,0.0,0.073,0.081,1.0,0.952,0.963,0.6626564651874522,0.45589594491201224,0.5410627390971691,0.22131949208087864,0.1622800828972438,0.1650893740392435
35,9.735376044568245,44797.42896935933,0.561237037,-0.01162963,AMG1608,Kiss,Rock and Roll All Nite,33848,2850,0.0,0.073,0.081,1.0,0.939,0.938,0.6583153910849453,0.45512279226240526,0.5184861227922625,0.21501418543827006,0.1654787363442678,0.15480072728903396
36,1.1764705882352942,7752.474264705882,-0.145625926,0.022874074,AMG1608,"Miles Davis Quintet, Miles Davis",Footprints,5278,12880,0.012,0.118,0.102,1.0,0.94,0.96,0.6466055045871559,0.4677264386989157,0.5449499582985822,0.2116108628241157,0.16308705509372268,0.1616438690411091
37,1.0643564356435644,7989.346534653465,0.605448148,0.071766667,AMG1608,Judas Priest,Living After Midnight,3576,3486,0.0,0.073,0.096,1.0,0.971,0.991,0.6479556171983356,0.47606796116504857,0.5468183079056866,0.20384901336443417,0.16705963535143384,0.15923472889598325
38,0.926829268292683,11059.19918699187,0.540433333,-0.019325926,AMG1608,Public Enemy,Bring the Noise,10444,1431,0.0,0.163,0.045,1.0,0.953,0.963,0.6194470246734397,0.47647314949201736,0.5201582002902758,0.22706112253501545,0.17698715526768183,0.15966524645226748
39,2.1122448979591835,24533.591836734693,-0.214459259,0.347488889,AMG1608,The Rolling Stones,You Can''t Always Get What You Want,14787,3240,0.0,0.073,0.131,1.0,0.959,0.931,0.6443679906542056,0.464714953271028,0.5266705607476636,0.21939689017542582,0.16833920242885725,0.1651755936055931
40,1.8563218390804597,4393.795977011494,-0.197988889,0.124544444,AMG1608,Big Star,Thirteen,4579,3655,0.0,0.112,0.121,1.0,0.948,0.991,0.634203548085901,0.46462838468720824,0.5280905695611579,0.2226784354899664,0.1697833641584429,0.1650318468692548
