song_name,valence,arousal,val_pred,aro_pred
" Paul & Mary""",0.406019406678344,0.25569778922281083,0.6079694,0.59463197
"""Lawyers",0.5214363166235716,0.6035152662553862,0.5682011,0.60041
"""Saginaw",0.3511505915144437,0.39852353828637604,0.62022954,0.5485866
"""Shake",0.7513090701198321,0.6326225370091783,0.62274283,0.59388787
"""The Rain",0.7971288493619151,0.49376242908183576,0.5725025,0.52361065
"""Well",0.6382609982761975,0.4622069220194591,0.6230859,0.600813
''S Wonderful,0.843861502905441,0.7883236687636148,0.52373457,0.556978
9 to 5,0.6754015257041177,0.7787187286346031,0.5446361,0.60583854
A Fine Romance,0.894866590902772,0.5363976673790509,0.62497205,0.6054711
All Kindsa Girls,0.661249664275586,0.8217341533486242,0.55776465,0.6146919
All the Way from Memphis,0.6390163205160285,0.7463109346023682,0.63919646,0.609988
Always on My Mind,0.3479624843606639,0.3363483684686516,0.61565554,0.5965392
Beck''s Bolero,0.5162417403453166,0.6773508918353099,0.5561804,0.56495667
Block Rockin'' Beats,0.6495259543470403,0.7274687077559223,0.6058463,0.588314
Bloop Bleep,0.6814023966413657,0.4511689703932283,0.5582127,0.5385885
Bone Machine,0.49417521617037835,0.7742734673928638,0.5679368,0.66374755
Bungle in the Jungle,0.6998962013790418,0.6474164007487975,0.5718826,0.542007
Caravan of Love,0.8065217192148358,0.2628845737598212,0.623545,0.6297925
Cheese and Onions,0.42795710859954955,0.2501086247576604,0.59750974,0.6136273
Cherish,0.45031556704757136,0.576313106925184,0.62261814,0.5937475
Crickets Sing for Anamaria,0.6960574971501654,0.5056259296809719,0.56793654,0.5565461
Criminal,0.6741086739233186,0.4435401660197487,0.6141523,0.66105735
Daydream Believer,0.8715813572163371,0.8060128008476886,0.62805086,0.61628354
Der Kommissar,0.6904847964801067,0.7893180031439951,0.58557904,0.57459104
Dizzy,0.6342063558261739,0.5603502733250159,0.5854933,0.64499146
Django,0.8510903515722744,0.4193377228021571,0.5557474,0.50594443
Don''t Dream It''s Over,0.674266225289849,0.5197697152944213,0.60904354,0.70330495
Don''t Let''s Start,0.5045551012038814,0.7074524975961638,0.62864023,0.6373804
Eminence Front,0.5654396161759391,0.5096007623561555,0.59386003,0.67165804
Everything Is Broken,0.366720419412239,0.5660731296549756,0.634009,0.69307345
Everything Zen,0.4574193010259404,0.7903666507648927,0.5807376,0.5647682
Evil,0.5807638481107682,0.6445587326733906,0.611287,0.617213
Expecting to Fly,0.2682227229126699,0.16283276831104443,0.5467403,0.5050741
Fingernails,0.8850474045652958,0.8083565900147986,0.5447719,0.47803852
Get off of My Cloud,0.745836461200545,0.83872975821815,0.5195119,0.4712741
Glory Days,0.8063317297800762,0.8477873960026513,0.6117554,0.6601118
God Only Knows,0.7211703318319571,0.5144303881008977,0.59518397,0.5918408
Goin'' to Chicago,0.3729993236856006,0.3493791675685215,0.5013333,0.5557178
Good Lovin'',1.0140499158951262,0.9057805108487398,0.5962687,0.553942
Happy Together,0.7943068180554398,0.5997927775782114,0.6099629,0.62247556
Here Comes Your Man,0.6998730315289015,0.6879626999766116,0.5371512,0.64699626
Hey Porter,0.6398550525481691,0.5472141917171046,0.51980656,0.5538997
Hey! Baby,0.8657334035365751,0.6865046205888917,0.5496665,0.50244856
Hit Parade,0.3883606271026218,0.25078544088078314,0.627045,0.71122646
Hot Dog! That Made Him Mad,0.7080564593933327,0.5710280923454962,0.66256684,0.6119994
I Ain''t Got You,0.5184196624683738,0.6128987784695393,0.59423816,0.50461876
I Couldn''t Leave You If I Tried,0.5190035310145411,0.47533799017460643,0.6471259,0.62250453
I Feel So Good,0.6201240025579002,0.685054897373566,0.5506094,0.50703365
I Got Rhythm,0.8293342974115161,0.6991218104624237,0.76369566,0.72108346
I Just Don''t Know What to Do With Myself,0.261776999054689,0.2953174350558755,0.63772786,0.6099459
I Left My Wallet in El Segundo,0.5463109704729335,0.5596559101172196,0.5657079,0.5681243
I Wanna Destroy You,0.31299061153279395,0.6626740088690749,0.55258983,0.5481162
I''ve Got a Tiger by the Tail,0.43144641824450186,0.5565350357717093,0.5711871,0.59528077
In the Land of Grey and Pink,0.47532460310840496,0.3066520163884231,0.5678459,0.50800204
In the Meantime,0.14876599869324653,0.768595732137779,0.564242,0.6361755
Iron Man,0.48358370936200173,0.7523519768101797,0.52134573,0.5758414
Is This Love,0.4794765569827898,0.3052106487188099,0.60649055,0.5844341
Isolation,0.5203195519503989,0.5472977490542752,0.5805787,0.58243614
It Was a Very Good Year,0.5687574721272277,0.14687327680382495,0.66353536,0.5347467
Jealous Guy,0.3196541273945561,0.23576597239347122,0.52764416,0.51644266
Jim Dandy,0.8283838178052103,0.789424378584739,0.55640966,0.56805074
Jockey Full of Bourbon,0.3172815824227764,0.35873343505933974,0.54807186,0.5848968
Junk Shop Clothes,0.2500115849250702,0.17323986025559418,0.59299487,0.6477476
Just Like Tom Thumb''s Blues,0.5046894841104346,0.2998378987157544,0.5817527,0.5730383
Lay Back in the Sun,0.7408040703978647,0.5286268155950494,0.50150883,0.5560082
