song_name,valence,arousal,val_pred,aro_pred
"""Don''t Worry",2.9008000277111807,-0.543607648357416,9.8166594e-05,-0.0017525881
"""No Woman",-0.27604779860287265,-1.3656982554509844,9.8166594e-05,-0.0017525881
(There''s) Always Something There to Remind Me,1.0504809282207108,0.5746160504794329,9.8166594e-05,-0.0017525881
(You Make Me Feel Like) A Natural Woman,0.9958152167669636,-0.4298005075770942,9.8166594e-05,-0.0017525881
"000 Maniacs""",-0.15952879603182935,-0.2158909493141225,9.8166594e-05,-0.0017525881
2000 Light Years from Home,-0.812438651948551,-0.5556523663105016,0.00012573852,-0.0016441226
A Beautiful Morning,0.7382822891352093,-0.20849811569152063,9.8166594e-05,-0.0017525881
A Fine Romance,1.6625334857014056,-0.048963510110988095,9.8166594e-05,-0.0017525881
A Picture of Me (Without You),-1.806860607377907,-1.9771607139660055,9.8166594e-05,-0.0017525881
Academy Fight Song,0.0033144308107475808,0.7571253764824976,9.8166594e-05,-0.0017525881
Alison''s Starting to Happen,0.3562574982343812,0.8139710424701719,9.8166594e-05,-0.0017525881
All I Have to Do Is Dream,1.027994824353581,-1.1188394447105812,9.8166594e-05,-0.0017525881
Any Old Iron,0.20835137097969247,0.25640097196167544,9.8166594e-05,-0.0017525881
Becoming More Like Alfie,-0.2747269925638543,0.29035395190031876,9.8166594e-05,-0.0017525881
Beechwood 4-5789,0.9867617011670755,0.9202695379275542,9.8166594e-05,-0.0017525881
Better Be Home Soon,-0.9119552904536357,-0.04628047390745105,0.00015729535,-0.0015199808
Black Steel,-1.3411928482633948,-0.0597149670089696,9.8166594e-05,-0.0017525881
Bone Machine,-0.414011867620276,1.0500590958102194,9.8166594e-05,-0.0017525881
Boogie Woogie Bugle Boy,1.9741233543699532,0.5382164901019338,9.8166594e-05,-0.0017525881
C''mon Everybody,1.6165214456607175,0.9009285004451955,9.8166594e-05,-0.0017525881
California Dreamin'',-0.054873024773406415,-0.3272080762868352,9.8166594e-05,-0.0017525881
Can''t Find My Way Home,-0.4892977434026186,-0.7341998689840232,9.8166594e-05,-0.0017525881
Cheese and Onions,-0.7571809804413194,-1.3716627071296756,9.8166594e-05,-0.0017525881
Child''s Christmas in Wales,0.639798277465867,-0.4108648211796953,9.8166594e-05,-0.0017525881
Crazy on You,0.7258186943884674,0.9742391395250336,9.8166594e-05,-0.0017525881
Cretin Hop,0.4143056713461428,1.3910327065400756,9.8166594e-05,-0.0017525881
Cruel to Be Kind,0.4572150183470647,0.6344005118330645,9.8166594e-05,-0.0017525881
